Stkcd,Name,Annodt,Year Ended,Event,Particular,Type,Ex-Date,Book Close Date,Payable Date
,,25/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,27/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,24/3/2017,Dec-16,Final,D:RMB 0.3500 (equivalent to HKD 0.394995),Cash,12/5/2017,2017/05/16-2017/05/21,5/7/2017
,,21/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,26/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,18/3/2016,Dec-15,Final,D:RMB 0.8000,Cash,30/6/2016,2016/07/05-2016/07/10,23/8/2016
,,30/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,21/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,27/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
1787,????,28/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,27/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,28/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,D:RMB 0.1000(equivalent to HKD 0.10985),Cash,29/6/2020,2020/07/01-2020/07/07,19/8/2020
,,27/3/2020,-,Final,B:4-for- 10,Scrip,29/6/2020,2020/07/01-2020/07/07,19/8/2020
,,29/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,29/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,26/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,29/3/2019,Dec-18,Final,D:RMB 0.1000(equivalent to HKD 0.11368),Cash,3/7/2019,2019/07/05-2019/07/10,20/8/2019
,,29/3/2019,Dec-18,Final,B:4-for-10,Scrip,3/7/2019,2019/07/05-2019/07/10,20/8/2019
,,29/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
2611,????,28/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,12/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,29/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,24/3/2020,Dec-19,Final,D:RMB 0.3900(equivalent to HKD 0.4272044),Cash,29/6/2020,2020/07/01-2020/07/06,12/8/2020
,,30/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,22/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,26/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,20/3/2019,Dec-18,Final,D:RMB 0.2750(equivalent to HKD 0.3127161),Cash,8/7/2019,2019/07/10-2019/07/15,12/8/2019
,,30/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,24/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,27/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,29/3/2018,Dec-17,Final,D:RMB 0.4000(equivalent to HKD 0.4940382),Cash,1/6/2018,2018/06/05-2018/06/10,29/6/2018
,,30/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,25/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,28/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
3606,????,29/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,21/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,27/4/2020,Dec-19,Final,D:RMB 0.7500(equivalent to HKD 0.8202889),Cash,29/7/2020,2020/07/31-2020/08/06,21/8/2020
,,27/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,30/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,28/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,26/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,15/3/2019,Dec-18,Final,D:RMB 0.7500(equivalent to HKD 0.8687715),Cash,4/6/2019,2019/06/06-2019/06/13,28/6/2019
,,25/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,20/8/2018,Dec-18,Interim,D:RMB 0.4000(equivalent to HKD 0.4553081),Cash,30/10/2018,2018/11/01-2018/11/07,23/11/2018
,,26/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,16/3/2018,Dec-17,Final,D:RMB 0.7500(equivalent to HKD 0.9248412),Cash,4/6/2018,2018/06/06-2018/06/12,29/6/2018
,,25/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,4/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,26/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,24/2/2017,Dec-16,Final,D:RMB 0.7500,Cash,19/5/2017,2017/05/23-2017/05/29,16/6/2017
,,30/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,28/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,18/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,20/3/2016,Dec-15,Final,D:RMB 0.7500(equivalent to HKD 0.8915729),Cash,7/6/2016,2016/06/09-2016/06/14,8/7/2016
,,26/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,23/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
,,12/4/2015,Dec-15,Quarter 1,No Dividend,-,-,-,-
3958,????,29/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,29/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,D:RMB 0.1500(equivalent to HKD 0.1640115),Cash,29/5/2020,2020/06/02-2020/06/07,10/7/2020
,,30/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,29/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,28/3/2019,Dec-18,Final,D:RMB 0.1000(equivalent to HKD 0.113791),Cash,11/6/2019,2019/06/13-2019/06/18,10/7/2019
,,30/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,30/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,26/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,29/3/2018,Dec-17,Final,D:RMB 0.2000(equivalent to HKD 0.2460533),Cash,7/6/2018,2018/06/09-2018/06/14,10/7/2018
,,27/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,27/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,25/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,31/3/2017,Dec-16,Final,D:RMB 0.1500(equivalent to HKD 0.1707631),Cash,19/6/2017,2017/06/21-2017/06/26,2/8/2017
,,28/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
6099,????,29/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,D:RMB 0.3350(equivalent to HKD 0.3880),Cash,11/11/2020,2020/11/13-2020/11/18,11/12/2020
,,7/7/2020,-,Special,R:3-for-10@HKD8.1850,-,17/7/2020,2020/07/21-2020/07/27,11/8/2020
,,28/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,No Dividend,-,-,-,-
,,29/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,28/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,25/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,28/3/2019,Dec-18,Final,D:RMB 0.2640(equivalent to HKD 0.3010),Cash,3/7/2019,2019/07/05-2019/07/10,27/8/2019
,,29/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,29/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,26/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,28/3/2018,Dec-17,Final,D:RMB 0.3460(equivalent to HKD 0.4220),Cash,9/7/2018,2018/07/11-2018/07/16,17/8/2018
,,27/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,24/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,28/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,28/3/2017,Dec-16,Final,D:RMB 0.1890(equivalent to HKD 0.2140),Cash,9/6/2017,2017/06/13-2017/06/18,21/7/2017
,,28/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
6178,????,28/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,26/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,28/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,D:RMB 0.0370(equivalent to HKD 0.0402535),Cash,15/6/2020,2020/06/17-2020/06/22,24/7/2020
,,28/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,27/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,27/3/2019,Dec-18,Final,D:RMB 0.1000(equivalent to HKD 0.1137871),Cash,11/6/2019,2019/06/13-2019/06/18,19/7/2019
,,29/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,28/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,26/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,26/3/2018,Dec-17,Final,D:RMB 0.2000(equivalent to HKD 0.2468124),Cash,29/5/2018,2018/05/31-2018/06/05,6/7/2018
,,26/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,29/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,28/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,29/3/2017,Dec-16,Final,D:RMB 0.2000(equivalent to HKD 0.226732),Cash,7/6/2017,2017/06/09-2017/06/14,19/7/2017
,,28/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,29/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
6806,????,30/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,29/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,D:RMB 0.0800(equivalent to HKD 0.087497),Cash,8/7/2020,2020/07/10-2020/07/15,20/8/2020
,,30/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,30/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,30/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
6886,HTSC,30/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,26/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,29/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,31/3/2020,Dec-19,Final,D:RMB 0.3000(equivalent to HKD 0.3284043),Cash,22/6/2020,2020/06/24-2020/06/29,16/7/2020
,,29/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,29/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,29/3/2019,Dec-18,Final,D:RMB 0.3000 (equivalent to HKD 0.3415596),Cash,10/7/2019,2019/07/12-2019/07/17,16/8/2019
,,30/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,30/8/2018,Dec-18,Interim,D:RMB 0.3000 (equivalent to HKD 0.3397355),Cash,24/10/2018,2018/10/26-2018/10/31,15/11/2018
,,26/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,28/3/2018,Dec-17,Final,No Dividend,-,-,-,-
,,30/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,11/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,26/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,31/3/2017,Dec-16,Final,D:RMB 0.5000 (equivalent to HKD 0.5737327),Cash,5/7/2017,2017/07/07-2017/07/12,8/8/2017
,,28/10/2016,Dec-16,Quarter 3,No Dividend,-,-,-,-
,,19/8/2016,Dec-16,Interim,No Dividend,-,-,-,-
,,28/4/2016,Dec-16,Quarter 1,No Dividend,-,-,-,-
,,30/3/2016,Dec-15,Final,D:RMB 0.5000(equivalent to HKD 0.5909984),Cash,28/6/2016,2016/06/30-2016/07/05,5/8/2016
,,30/10/2015,Dec-15,Quarter 3,No Dividend,-,-,-,-
,,23/8/2015,Dec-15,Interim,No Dividend,-,-,-,-
9989,???,29/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
38,???????,29/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,27/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,23/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,23/4/2020,Dec-19,Final,No Dividend,-,-,-,-
,,29/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,29/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
